tests.pattern_engine.test_pattern_db_shared_root_guard | test_explicit_allow_shared_root_override_bypasses_the_guard | AssertionError: assert '/data/patterns.db' == '/home/runner...\\patterns.db'
tests.test_alert_user_router | test_a_POST_on_a_user_formula_REACHES_the_admission_chain_and_ARMS | AssertionError: {"detail":"u_0f1e2d3c4b5a: the lanes could not be compared (LaneUnavailable: the JS lane exited 1: \nnode:internal/modules/run_main:123\n    triggerUncaughtException(\n    ^\nError [ERR_MODULE_NOT_FOUND]: Cannot find package 'jsep' imported from /home/runner/work/UCT-Dashboard/UCT-Dashboard/app/src/components/chart/engine/ast/parse.js\n    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:314:9)\n    at packageResolve (node:internal/modules/esm/resolve:768:81)\n    at moduleResolve (node:internal/modules/esm/resolve:855:18)\n    at defaultResolve (node:internal/modules/esm/resolve:985:11)\n    at nextResolve (node:internal/modules/esm/hooks:748:28)\n    at Hooks.resolve (node:internal/modules/esm/hooks:240:30)\n    at MessagePort.handleMessage (node:internal/modules/esm/worker:199:24)\n    at [nodejs.internal.kHybridDispatch] (node:internal/event_target:843:20)\n    at MessagePort.<anonymous> (node:internal/per_context/messageport:23:28) {\n  code: 'ERR_MODULE_NOT_FOUND'\n}\n\nNode.js v22.23.2\n) — a formula this lane cannot prove equal is not admitted [gate:cross-lane]"}
tests.test_alert_user_router | test_the_user_address_is_NOT_case_folded_on_the_way_in | AssertionError: {"detail":"u_0f1e2d3c4b5a: the lanes could not be compared (LaneUnavailable: the JS lane exited 1: \nnode:internal/modules/run_main:123\n    triggerUncaughtException(\n    ^\nError [ERR_MODULE_NOT_FOUND]: Cannot find package 'jsep' imported from /home/runner/work/UCT-Dashboard/UCT-Dashboard/app/src/components/chart/engine/ast/parse.js\n    at Object.getPackageJSONURL (node:internal/modules/package_json_reader:314:9)\n    at packageResolve (node:internal/modules/esm/resolve:768:81)\n    at moduleResolve (node:internal/modules/esm/resolve:855:18)\n    at defaultResolve (node:internal/modules/esm/resolve:985:11)\n    at nextResolve (node:internal/modules/esm/hooks:748:28)\n    at Hooks.resolve (node:internal/modules/esm/hooks:240:30)\n    at MessagePort.handleMessage (node:internal/modules/esm/worker:199:24)\n    at [nodejs.internal.kHybridDispatch] (node:internal/event_target:843:20)\n    at MessagePort.<anonymous> (node:internal/per_context/messageport:23:28) {\n  code: 'ERR_MODULE_NOT_FOUND'\n}\n\nNode.js v22.23.2\n) — a formula this lane cannot prove equal is not admitted [gate:cross-lane]"}
tests.test_alert_user_router | test_the_ARM_TIME_CROSS_LANE_PROOF_is_reachable_from_HTTP | assert 'the two lanes disagree at bar 30' in "u_0f1e2d3c4b5a: the lanes could not be compared (LaneUnavailable: the JS lane exited 1: \nnode:internal/modules/run_m...MODULE_NOT_FOUND'\n}\n\nNode.js v22.23.2\n) — a formula this lane cannot prove equal is not admitted [gate:cross-lane]"
tests.test_alert_user_router | test_one_accounts_formula_cannot_be_armed_by_another_over_HTTP | assert 400 == 200
tests.test_ast_arg_domain | test_the_two_lanes_refuse_with_a_BYTE_IDENTICAL_sentence | AssertionError: the JS lane could not be run; this rail is a HARD failure rather than a skip. stderr:
tests.test_ast_arg_roles | test_the_JS_LANE_refuses_the_SAME_TREE_with_the_SAME_GUARD | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_bounded_state | test_the_tie_break_is_MOST_RECENT_WINS_in_the_js_lane_too | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_bounded_state | test_a_TOTAL_tie_reads_zero_in_both_lanes_and_that_is_the_flat_series_case | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_bounded_state | test_every_bounded_state_RULING_holds_in_the_JS_lane_on_its_own | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_conformance | test_an_input_referencing_TREE_is_evaluated_and_AGREES_across_both_lanes | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_conformance | test_control_the_SAME_tree_with_no_inputs_is_refused_by_BOTH_lanes | AssertionError: Regex pattern did not match.
tests.test_ast_conformance | test_the_guarded_census_offers_each_case_to_the_DOOR_ITS_CLAIM_IS_ABOUT | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_inputs_end_to_end | test_the_arm_ADMITS_it_through_the_real_gates_on_real_bars | api.services.alert_user_series.AdmissionRefused: u_11aabb22ccdd: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_ast_inputs_end_to_end | test_the_armed_alert_FIRES_on_the_value_the_INPUT_actually_produces | api.services.alert_user_series.AdmissionRefused: u_11aabb22ccdd: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_ast_inputs_end_to_end | test_the_router_level_create_path_arms_it_end_to_end | api.services.alert_user_series.AdmissionRefused: u_11aabb22ccdd: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_ast_inputs_end_to_end | test_the_CROSS_LANE_PROOF_is_taken_on_the_inputs_PRODUCTION_uses | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_interpret | test_the_two_lanes_refuse_with_THE_SAME_SIX_SENTENCES | AssertionError: the JS lane's REFUSALS could not be read; this rail is a HARD failure rather than a skip. stderr:
tests.test_ast_interpret | test_the_js_driver_carries_the_WARMUP_NULL_and_never_a_fabricated_ZERO | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_interpret | test_the_escape_census_ZERO_is_ATTRIBUTABLE_and_the_reconciliation_says_so | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_the_two_lanes_agree_on_every_tree_at_1e_9 | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_the_lanes_agree_on_a_tree_that_is_NOT_COMPUTABLE_on_every_bar | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_BOTH_LANES_put_the_SAME_SIDE_of_the_boundary_on_hist_up | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_the_fixture_hash_is_the_one_BOTH_LANES_produce | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_hash_the_SAME_MAP_out_of_a_document_with_a_DUPLICATE_KEY | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_refuse_the_SAME_tree_maps_by_the_SAME_field_path[empty-payload0-compute.trees] | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_refuse_the_SAME_tree_maps_by_the_SAME_field_path[array-payload1-compute.trees] | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_refuse_the_SAME_tree_maps_by_the_SAME_field_path[null-None-compute.trees] | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_refuse_the_SAME_tree_maps_by_the_SAME_field_path[badkey-payload3-compute.trees] | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_both_lanes_refuse_the_SAME_tree_maps_by_the_SAME_field_path[noncanonical-payload4-compute.trees.b] | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_multi_tree_parity | test_a_ONE_KEY_map_is_hashable_in_BOTH_lanes_and_refused_by_NEITHER_hasher | tests.test_user_definitions.LaneUnavailable: the JS lane exited 1:
tests.test_ast_pivots | test_every_pivot_ruling_holds_in_the_JS_lane_on_its_own | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_tc2000_remainder | test_the_JS_lane_holds_the_SAME_zero_range_bar_open | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_tc2000_remainder | test_every_refusal_that_BLAMES_THE_DOCS_names_what_would_unblock_it | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_tc2000_remainder | test_A5_is_a_PARTITION_total_and_disjoint_and_the_ceiling_is_MEASURED | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_tc2000_remainder | test_every_spelling_this_task_CLAIMS_also_COMPUTES_rather_than_merely_parsing | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_ast_tc2000_remainder | test_the_three_declared_entries_agree_with_the_JS_lane_on_their_own_numbers | ast_conformance.LaneUnavailable: the JS lane exited 1:
tests.test_calendar_week_anchor.TestTheAnchorIsDerivedOnce | test_no_surface_still_computes_the_anchor_the_old_way | AssertionError: the AST parse did not run (exit 1).
tests.test_calendar_week_anchor.TestTheAnchorIsDerivedOnce | test_exactly_one_module_declares_the_anchor | AssertionError: the AST parse did not run (exit 1).
tests.test_calendar_week_anchor.TestTheAnchorIsDerivedOnce | test_every_consumer_imports_it_rather_than_restating_it | AssertionError: the AST parse did not run (exit 1).
tests.test_calendar_week_anchor.TestTheAnchorIsDerivedOnce | test_no_rendered_calendar_date_comes_from_toISOString | AssertionError: the AST parse did not run (exit 1).
tests.test_calendar_week_post | test_most_anticipated_card_render_is_pinned | AssertionError: assert '814a9107c457...e7d9627274bdd' == 'f1ae5925d8d8...fc17075e86d0c'
tests.test_corp_actions_census | test_every_corporate_action_site_is_REGISTERED_with_a_state | AssertionError: a corporate-action site nobody has classified:
tests.test_corp_actions_census | test_every_state_is_one_of_the_three_and_OUTSIDE_carries_a_REAL_reason | AssertionError: api/services/wisdom/capture/families/gex.py [VENDOR_ADJUSTED] has state 'UNREGISTERED'
tests.test_corp_actions_census | test_the_census_runs_as_a_command_and_reports_its_verdict | AssertionError: the census exits non-zero, so something is unregistered:
tests.test_definition_concierge | test_the_python_read_back_is_BYTE_IDENTICAL_to_sentence_js | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_concierge | test_the_cross_lane_corpus_REACHES_every_operand_kind | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_concierge | test_the_two_YIELDS_resolvers_agree_and_the_answer_is_ONE | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_concierge | test_the_operator_phrases_and_the_read_back_refusals_are_ONE_VOCABULARY | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_concierge | test_the_SOURCE_the_concierge_derives_PARSES_BACK_to_the_tree | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_concierge | test_the_two_coverage_LANES_agree_and_the_ONE_divergence_is_PINNED | failed on setup with "tests.test_definition_concierge.LaneUnavailable: the JS lane exited 1:
tests.test_definition_record | test_BLIND_SPOT_4_a_USER_AUTHORED_fire_is_refused_FIRST_yet_the_record_has_it | api.services.alert_user_series.AdmissionRefused: u_1234567890ab: the lanes could not be compared (LaneUnavailable: the JS lane exited 1:
tests.test_deploy_watch | test_the_real_boundary_resolve_and_run_railway_status_json_for_real | deploy_watch.RailwayNotFound: `railway` is not on PATH. shutil.which found nothing, so every probe would raise FileNotFoundError and the watch would report nothing while looking healthy.
tests.test_discord_close_note | test_a_note_that_cannot_be_written_still_posts_the_charts | Failed: Timeout (>120.0s) from pytest-timeout.
tests.test_discord_render_vintage_url | test_the_base_blob_really_is_an_older_version_of_the_file | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[bare-daily] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[stats-daily] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[intraday-5-ext] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[intraday-30-noext] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[weekly-prefs] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[panned] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[breadth] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[compare] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[exttag] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[dpzones] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_pre_v2_url_is_byte_identical_to_the_version_this_lane_started_from[instances] | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_discord_render_vintage_url | test_the_comparison_can_actually_fail | failed on setup with "AssertionError: could not read the base blob: fatal: invalid object name '4eec5e0aa'.
tests.test_document_ocr.TestAClaimNobodyCanServeIsNotProcessing | test_the_member_facing_chain_ends_at_a_navigable_page | assert False is True
tests.test_flow_aggregate | test_warm_means_this_exact_version_not_merely_something_cached | assert False is True
tests.test_flow_aggregate | test_cold_is_reported_but_is_not_a_failure | AssertionError: assert (False is False and 'bundle_missing' == 'cold'
tests.test_flow_aggregate | test_each_way_it_can_break_names_itself[env2-node_missing] | AssertionError: assert 'bundle_missing' == 'node_missing'
tests.test_flow_aggregate | test_it_alerts_on_TRANSITION_only | assert (0 == 1)
tests.test_flow_aggregate | test_recovery_is_announced_too | assert (0 == 1)
tests.test_flow_prepare | test_warm_is_FALSE_when_the_parts_transport_is_on_but_cold | KeyError: 'warm_whole'
tests.test_flow_prepare | test_CONTROL_with_parts_off_the_whole_D_verdict_is_unchanged | assert (False is True)
tests.test_flow_prepare | test_warm_is_TRUE_once_the_parts_for_the_default_view_are_built | assert (False is True)
tests.test_flow_prepare | test_parts_built_for_a_SUPERSEDED_version_are_not_warm | AssertionError: assert 'stale' in (('bundle_missing'))
tests.test_flow_prepare | test_a_BURST_of_bumps_collapses_to_ONE_roll | AssertionError: 2 rolls from 5 bumps — the loop is observing intermediate versions, so a burst CAN reach the ledger and rolls 2..N would be misfiled as steady-state
tests.test_frontend_deps_installed | test_the_frontend_manifest_is_actually_installed | AssertionError: app/node_modules does not satisfy app/package.json, so every backend rail that crosses into the JS lane will fail as `LaneUnavailable` / `Cannot find package` instead of saying this.
tests.test_implied_backfill.TestFiscalJoin | test_off_calendar_filer_gets_the_right_quarter | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_september_filer_gets_the_right_quarter | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_future_announcements_are_excluded | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_one_quarter_is_never_claimed_twice | TypeError: TestFiscalJoin.test_one_quarter_is_never_claimed_twice.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_distinct_quarters_all_survive | TypeError: TestFiscalJoin.providers.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFiscalJoin | test_a_far_away_period_is_refused_not_least_wrong | TypeError: TestFiscalJoin.test_a_far_away_period_is_refused_not_least_wrong.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[None-a shrug \u2014 the provider never answered] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[fmp_result1-answered, but with no history] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_falls_back_to_finnhub_rather_than_dropping_the_symbol[fmp_result2-answered, but the income statement carried no fiscal identity] | TypeError: TestFmpIsThePrimaryFiscalSource.test_falls_back_to_finnhub_rather_than_dropping_the_symbol.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_an_exception_from_fmp_falls_back_instead_of_escaping | TypeError: TestFmpIsThePrimaryFiscalSource.test_an_exception_from_fmp_falls_back_instead_of_escaping.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFmpIsThePrimaryFiscalSource | test_the_real_fmp_leg_is_wired_up_end_to_end | TypeError: TestFmpIsThePrimaryFiscalSource.test_the_real_fmp_leg_is_wired_up_end_to_end.<locals>.fake_fmp() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_an_empty_finnhub_response_is_retried_not_accepted | TypeError: TestFinnhubPacing.test_an_empty_finnhub_response_is_retried_not_accepted.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_gives_up_after_the_attempt_budget | TypeError: TestFinnhubPacing.test_gives_up_after_the_attempt_budget.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_no_finnhub_call_at_all_when_fmp_has_nothing | TypeError: TestFinnhubPacing.test_no_finnhub_call_at_all_when_fmp_has_nothing.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_implied_backfill.TestFinnhubPacing | test_every_finnhub_call_is_actually_paced | TypeError: TestFinnhubPacing.test_every_finnhub_call_is_actually_paced.<locals>.<lambda>() got an unexpected keyword argument 'timeout'
tests.test_launch_hardening | test_theme_warm_is_throttled_and_capped | AssertionError: second immediate poll should be throttled
tests.test_mutation_check.TestRestoreGuarantee | test_the_file_is_byte_identical_after_a_detected_mutation | AssertionError: assert 1 == 0
tests.test_mutation_check.TestVerdicts | test_a_detected_mutation_passes_the_check | AssertionError: assert 'MUTATION CHECK PASSED' in '[1] snapshot /tmp/pytest-of-runner/pytest-0/test_a_detected_mutation_passe0/impl.py (49 bytes, sha256 1cc65c43961f)\n...already failing before this ran.\n[6] byte-identical restore verified (sha256 1cc65c43961f)\n\nMUTATION CHECK FAILED\n'
tests.test_mutation_check.TestVerdicts | test_expect_red_naming_the_right_test_passes | AssertionError: assert 1 == 0
tests.test_nb_observe | test_a_5xx_reading_is_SKIPPED_not_an_ANOMALY | AssertionError: errs = [x for x in observed
tests.test_no_cr_in_tracked_text_blobs | test_no_tracked_text_file_is_staged_with_cr_line_endings | AssertionError: these tracked files would be committed with CR line endings, which makes `git blame` attribute the whole file to one commit and turns any concurrent edit into a whole-file conflict:
tests.test_phase_e_acceptance | test_the_PINE_SCREENER_PARITY_PATH__one_definition_at_every_step | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_the_EDIT_APPENDS_A_VERSION_rather_than_minting_a_second_definition | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_the_SCAN_SURFACE_and_the_CHART_read_the_SAME_ROW | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_a_symbol_the_screen_could_not_ANSWER_is_not_a_hit | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_the_RUN_NOW_leg_holds_the_SAME_hash_and_leaves_the_store_UNTOUCHED | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_the_comparison_uses_a_function_THE_TABLE_DECLARES | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_phase_e_acceptance | test_a_SCALAR_bearing_scan_REFUSES_ON_A_STALE_SNAPSHOT_rather_than_answering | failed on setup with "tests.test_scan_definition.LaneUnavailable: the JS lane exited 1:
tests.test_preference_key_validation | test_every_key_the_client_writes_is_still_accepted | AssertionError: unresolved key expressions: ['same']
tests.test_refusal_reaches_every_surface | test_the_census_reads_the_whole_frontend_and_parses_all_of_it | AssertionError: census failed: node:internal/modules/cjs/loader:1430
tests.test_refusal_reaches_every_surface | test_the_census_sees_code_and_never_prose | AssertionError: census failed: node:internal/modules/cjs/loader:1430
tests.test_refusal_reaches_every_surface | test_the_census_finds_a_projection_hop_by_its_shape | AssertionError: census failed: node:internal/modules/cjs/loader:1430
tests.test_refusal_reaches_every_surface | test_the_frontend_still_carries_more_than_one_allow_list_hop | AssertionError: census failed: node:internal/modules/cjs/loader:1430
tests.test_refusal_reaches_every_surface | test_no_hop_between_the_router_and_the_screen_drops_an_emitted_key[calendar enrichment] | AssertionError: census failed: node:internal/modules/cjs/loader:1430
tests.test_refusal_reaches_every_surface | test_no_hop_between_the_router_and_the_screen_drops_an_emitted_key[research expected-move] | AssertionError: census failed: node:internal/modules/cjs/loader:1430
